station,target,changes,stops
Loitsch-Hohenleuben,Leipzig-Knauthain,0,13
Chemnitz Annenstraße,Chemnitz Annenstraße,0,0
Silberstraße,Zwickau-Schedewitz,0,2
Hagenwerder,Görlitz-Weinhübel Joh.-R.-Becher-Straße,0,0
Plauen(Vogtl)-Straßberg,Plauen(Vogtl)-Straßberg,0,0
Glaubitz(Riesa),Dresden-Neustadt,0,5
Plauen(Vogtl) ob Bf,Plauen(Vogtl) ob Bf,0,0
Eilenburg Ost,Leipzig Hbf,0,2
Grüna(Sachs)Hp,Chemnitz-Siegmar,0,0
Niedertrebra,Leipzig-Miltitz,0,11
Günzburg,Leipzig Hbf,0,6
Crailsheim,Leipzig Hbf,0,6
Uhlstädt,Leipzig Hbf,0,7
Wandersleben,Leipzig-Miltitz,0,15
Königstein(Sächs Schw),Dresden-Zschachwitz,0,7
Wels Hbf,Leipzig Hbf,0,9
Auerbach(Vogtl) Hp,Plauen(Vogtl) ob Bf,0,6
Torgau,Leipzig Hbf,0,2
Wojanow,Görlitz,0,16
Werdau,Zwickau(Sachs)Hbf,0,0
Steinbach am Wald,Leipzig Hbf,0,13
Dresden-Zschachwitz,Dresden-Zschachwitz,0,0
Chemnitz Friedrichstraße,Chemnitz Friedrichstraße,0,0
Pasewalk,Leipzig Hbf,0,7
Decin-Certova voda,Dresden Hbf,1,4
Neunhofen,Leipzig-Knauthain,0,13
Wüstenbrand,Chemnitz-Siegmar,0,1
Großlehna,Leipzig-Miltitz,0,1
Hammerunterwiesenthal,Chemnitz Hbf,1,25
Altenburg,Leipzig-Connewitz,0,3
Ruppertsgrün,Plauen(Vogtl) ob Bf,0,2
Mehltheuer,Plauen(Vogtl) ob Bf,0,0
Hosena,Hoyerswerda,0,2
Pressig-Rothenkirchen,Leipzig Hbf,0,14
Mürzzuschlag,Dresden Hbf,0,10
Görlitz-Weinhübel Joh.-R.-Becher-Straße,Görlitz-Weinhübel Joh.-R.-Becher-Straße,0,0
Gutenfürst,Plauen(Vogtl) ob Bf,0,5
Praha-Holesovice,Dresden Hbf,0,3
Semmering,Dresden Hbf,0,9
Varnsdorf Pivovar Kocour,Görlitz-Weinhübel Joh.-R.-Becher-Straße,1,6
Langebrück(Sachs),Dresden-Klotzsche,0,0
Frankenberg(Sachs),Chemnitz-Hilbersdorf,0,3
Berlin Gesundbrunnen,Dresden-Neustadt,0,2
Leisnig,Leipzig-Engelsdorf,0,7
Unterwiesenthal,Chemnitz Hbf,1,26
Chemnitz-Siegmar,Chemnitz-Siegmar,0,0
Piensk,Görlitz,0,4
Sluknov zast.,Dresden Hbf,1,13
Klosterbuch,Leipzig-Engelsdorf,0,8
Reichenbach(Oberlausitz),Görlitz-Rauschwalde,0,1
Leipzig Coppiplatz,Leipzig Coppiplatz,0,0
Schorndorf,Leipzig Hbf,0,10
Hagen Hbf,Leipzig/Halle Flughafen,0,11
Hallstadt(b Bamberg),Leipzig Hbf,0,27
Leipzig Nord,Leipzig Nord,0,0
Schwerin Hbf,Dresden-Neustadt,0,8
Delitzsch unt Bf,Leipzig Messe,0,0
Pegau,Leipzig-Knauthain,0,1
Dresden-Klotzsche,Dresden-Klotzsche,0,0
Burkhardswalde-Maxen,Dresden-Zschachwitz,1,4
Rothenstein(Saale),Leipzig Hbf,0,5
Magdeburg Hbf,Leipzig/Halle Flughafen,0,2
Oldenburg(Oldb),Leipzig/Halle Flughafen,0,10
Lampertswalde,Dresden-Neustadt,0,4
Herlasgrün,Plauen(Vogtl) ob Bf (Busbahnhof),0,1
Chemnitz Alt Chemnitz Center,Chemnitz Alt Chemnitz Center,0,0
Leipzig Grünauer Allee,Leipzig Grünauer Allee,0,0
Leipzig Messe,Leipzig Messe,0,0
Boguszow Gorce Zach.,Görlitz,0,23
Nennigmühle,Chemnitz Hbf,0,11
Rechenberg Schule,Chemnitz Hbf,1,9
Cainsdorf,Zwickau-Schedewitz,0,0
Weixdorf,Dresden-Klotzsche,0,1
Dresden-Kemnitz Flensburger Straße,Dresden-Kemnitz Flensburger Straße,0,0
