station,n_departures,departures_scaled,departures_ratio
Muldenhütten,54,0.08156606851549755,2.25
Nassau(Erzgeb),16,0.019575856443719414,0.6666666666666666
Naunhof,58,0.08809135399673736,2.4166666666666665
Netzschkau,38,0.05546492659053834,1.5833333333333333
Neugersdorf,41,0.06035889070146819,1.7083333333333333
Neukirch(Lausitz)Ost,41,0.06035889070146819,1.7083333333333333
Neukirchen-Wyhra,39,0.05709624796084829,1.625
Neusalza-Spremberg,24,0.032626427406199025,1.0
Neusörnewitz,110,0.1729200652528548,4.583333333333333
Leipzig Messe,266,0.4274061990212072,11.083333333333334
Niederau,67,0.10277324632952692,2.7916666666666665
Niederbobritzsch,54,0.08156606851549755,2.25
Niederoderwitz,23,0.03099510603588907,0.9583333333333334
Niederschlottwitz,36,0.052202283849918436,1.5
Niederwartha,41,0.06035889070146819,1.7083333333333333
Niederwürschnitz,32,0.04567699836867863,1.3333333333333333
Nünchritz,40,0.05872756933115825,1.6666666666666667
Oberholz,34,0.048939641109298535,1.4166666666666667
Oberlichtenau,41,0.06035889070146819,1.7083333333333333
Oberoderwitz Oberdorf,23,0.03099510603588907,0.9583333333333334
Oberrothenbach,52,0.07830342577487766,2.1666666666666665
Oberschlottwitz,36,0.052202283849918436,1.5
Obervogelgesang,78,0.12071778140293639,3.25
Oederan,40,0.05872756933115825,1.6666666666666667
Oelsnitz(Erzgeb),32,0.04567699836867863,1.3333333333333333
Oelsnitz(Vogtl),34,0.048939641109298535,1.4166666666666667
Ostrau,38,0.05546492659053834,1.5833333333333333
Ottendorf(Mittweida),41,0.06035889070146819,1.7083333333333333
Ottendorf-Okrilla Hp,36,0.052202283849918436,1.5
Ottendorf-Okrilla Nord,36,0.052202283849918436,1.5
Ottendorf-Okrilla Süd,36,0.052202283849918436,1.5
Otterwisch,34,0.048939641109298535,1.4166666666666667
Petergrube,39,0.05709624796084829,1.625
Petershain,22,0.029363784665579123,0.9166666666666666
Pirk,34,0.048939641109298535,1.4166666666666667
Pirna-Copitz,34,0.048939641109298535,1.4166666666666667
Pirna-Copitz Nord,34,0.048939641109298535,1.4166666666666667
Plauen(Vogtl)West,34,0.048939641109298535,1.4166666666666667
Pönitz(Leipzig),65,0.09951060358890702,2.7083333333333335
Pommritz,37,0.05383360522022839,1.5416666666666667
Pulsnitz,40,0.05872756933115825,1.6666666666666667
Pulsnitz Süd,40,0.05872756933115825,1.6666666666666667
Putzkau,24,0.032626427406199025,1.0
Rackwitz(Leipzig),77,0.11908646003262642,3.2083333333333335
Radeberg,129,0.20391517128874387,5.375
Radebeul-Weintraube,108,0.1696574225122349,4.5
Radebeul-Zitzschewig,108,0.1696574225122349,4.5
Rathmannsdorf(Kr Pirna),47,0.0701468189233279,1.9583333333333333
Raun,18,0.022838499184339316,0.75
Rechenberg,16,0.019575856443719414,0.6666666666666666
Regis-Breitingen,41,0.06035889070146819,1.7083333333333333
Reichenbach(Oberlausitz),37,0.05383360522022839,1.5416666666666667
Reichenbach(Vogtl) ob Bf,72,0.11092985318107668,3.0
Rentzschmühle,25,0.03425774877650897,1.0416666666666667
"Reuth(b Plauen,Vogtl)",4,0.0,0.16666666666666666
Rietschen,41,0.06035889070146819,1.7083333333333333
Rodewisch,32,0.04567699836867863,1.3333333333333333
Rödlitz-Hohndorf,32,0.04567699836867863,1.3333333333333333
Leipzig-Rückmarsdorf,41,0.06035889070146819,1.7083333333333333
Ruppertsgrün,65,0.09951060358890702,2.7083333333333335
Schkeuditz West,84,0.13050570962479607,3.5
Schirgiswalde-Kirschau,24,0.032626427406199025,1.0
Schkeuditz,100,0.1566068515497553,4.166666666666667
Görlitz-Rauschwalde,36,0.052202283849918436,1.5
Schleife,38,0.05546492659053834,1.5833333333333333
Schmilka-Hirschmühle,55,0.08319738988580751,2.2916666666666665
Schmölln(Ol),24,0.032626427406199025,1.0
Schöna,64,0.09787928221859707,2.6666666666666665
Schöneck(Vogtl),62,0.09461663947797716,2.5833333333333335
